city,division,description,link,House No.,Flat No.,Area,Price per month,Number of rooms ,Floor,No. of floors,Build year,Building type,Heating system,energy_class,Nearest kindergarten,Nearest educational institution,Nearest shop,Public transport stop
Vilnius,Bajorai,"Vilnius, Bajorai, Mykolo Lietuvio g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-bajoruose-mykolo-lietuvio-g-sviesus-ir-siltas-3-kambariu-butas-naujos-4-1104859/,,,66 m²,700 €,3,3,3,2017,Block house,Gas,,310 m,"1,3 km","1,1 km",690 m
,,,,,,,,,,,,,,,,,,
Vilnius,Bajorai,"Vilnius, Bajorai, Mykolo Lietuvio g., 3 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-bajoruose-mykolo-lietuvio-g-sviesus-ir-siltas-3-kambariu-butas-naujos-4-1104859/,,,66 m²,700 €,3,3,3,2017,Block house,Gas,,310 m,"1,3 km","1,1 km",690 m
Vilnius,Naujoji Vilnia,"Vilnius, Naujoji Vilnia, Pramonės g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujojoje-vilnioje-pramones-g-geras-pasiulymas-gera-kaina-nuomojamas-4-1099971/,141,,20 m²,220 €,1,5,5,1976,Brick,"Electric, central thermostat",,1 km,"1,2 km","1,2 km",170 m
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Savanorių pr., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-savanoriu-pr-nuomojamas-isskirtinis-butas-su-nuostabiu-4-1105915/,,,48 m²,850 €,2,10,11,2010,Brick,Central thermostat,,390 m,290 m,250 m,40 m
Vilnius,Balsiai,"Vilnius, Balsiai, Ragės g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-balsiuose-rages-g-vilniuje-balsiu-mikrorajone-prie-santariskiu-4-1103389/,,,30 m²,279 €,1,1,2,2007,Brick,Gas,,410 m,470 m,1 km,70 m
Vilnius,Santariškės,"Vilnius, Santariškės, Santariškių g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-santariskese-santariskiu-g-nuomojamas-jaukus-2-kambariu-butas-esantis-4-1106091/,59,,42 m²,450 €,2,3,3,2009,Brick,Central,1 Class Good (1-3),540 m,"1,1 km",460 m,150 m
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Sodų g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-sodu-g-nuomojamas-modernus-2-kambariu-butas-sodu-g-4-1106057/,,,55 m²,699 €,2,3,3,1955,Brick,"Electric, gas",,,,,
Vilnius,Žirmūnai,"Vilnius, Žirmūnai, Šeimyniškių g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-zirmunuose-seimyniskiu-g-nuomojamas-labai-tvarkingas-jaukus-ir-siltas-4-1100953/,,,33 m²,350 €,1,2,5,1970,Block house,Central,,270 m,330 m,270 m,30 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Pamėnkalnio g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-pamenkalnio-g-isnuomojamas-prabangus-ir-isskirtinis-butas-4-1102313/,2,,45 m²,500 €,2,2,3,"1940 construction, 2020 renovation",Brick,"Solid fuel, other",1 Class Good (1-3),130 m,370 m,160 m,30 m
Vilnius,Naujamiestis,"Vilnius, Naujamiestis, Kauno g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-naujamiestyje-kauno-g-pilnai-irengtas-loftas-naujamiestyje-4-1105987/,,,25 m²,350 €,2,3,4,2016,Brick,Electric,,460 m,270 m,110 m,70 m
Vilnius,Senamiestis,"Vilnius, Senamiestis, Lydos g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-senamiestyje-lydos-g-zavingoje-vilniaus-senamiescio-dalyje-4-1103549/,4,,50 m²,1 300 €,2,3,4,2018,Brick,Central thermostat,,110 m,320 m,50 m,100 m
Vilnius,Jeruzalė,"Vilnius, Jeruzalė, Ateities g., 1 room flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-jeruzaleje-ateities-g-galima-su-mazais-gyvunais-nuomojamas-1-4-1105365/,,,42 m²,350 €,1,2,5,1974,Brick,Central,,100 m,610 m,160 m,10 m
Vilnius,Šnipiškės,"Vilnius, Šnipiškės, Šeimyniškių g., 2 rooms flat for rent",https://en.aruodas.lt/butu-nuoma-vilniuje-snipiskese-seimyniskiu-g-nuomojamas-dvieju-kambariu-butas-snipiskese-4-1103067/,19A,,"32,96 m²",650 €,2,5,7,2020,Brick,Central thermostat,,320 m,450 m,120 m,180 m
